project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus
aceld/zinx,fbabb5948e2325ab484c4afd600299f10f603e21,mergeAnalysisOutput/go/aceld/zinx/fbabb5948e2325ab484c4afd600299f10f603e21/znet/connection.go,SUCCESS_WITHOUT_CONFLICTS,4789924,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,11588630,8.999099ms,,,,,,,,,9.223117ms,SUCCESS_WITHOUT_CONFLICTS,13038489,10.589501ms,,,,,,,,,10.827953ms,SUCCESS_WITHOUT_CONFLICTS,12476495,8.799722ms,,,,,,,,,9.013292ms
aptly-dev/aptly,27c15680e8a0ea7ec39a76dc4f806e67686c7dfa,mergeAnalysisOutput/go/aptly-dev/aptly/27c15680e8a0ea7ec39a76dc4f806e67686c7dfa/cmd/db_recover.go,SUCCESS_WITHOUT_CONFLICTS,2556853,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,5566351,3.196574ms,,,,,,,,,3.405494ms,SUCCESS_WITHOUT_CONFLICTS,5768602,3.103301ms,,,,,,,,,3.3036ms,SUCCESS_WITHOUT_CONFLICTS,5741671,3.156851ms,,,,,,,,,3.396705ms
aptly-dev/aptly,666b5c9700a3c3e7a21fbd9b5fea9696b32fc390,mergeAnalysisOutput/go/aptly-dev/aptly/666b5c9700a3c3e7a21fbd9b5fea9696b32fc390/deb/snapshot.go,SUCCESS_WITHOUT_CONFLICTS,5714929,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,11885737,7.928702ms,,,,,,,,,8.12579ms,SUCCESS_WITHOUT_CONFLICTS,13215685,9.062346ms,,,,,,,,,9.31325ms,SUCCESS_WITHOUT_CONFLICTS,11870359,8.007614ms,,,,,,,,,8.210076ms
semaphoreui/semaphore,aed1cadc18624ff4d08cc63ca0f52dcb74768ab2,mergeAnalysisOutput/go/semaphoreui/semaphore/aed1cadc18624ff4d08cc63ca0f52dcb74768ab2/db/bolt/BoltDb.go,SUCCESS_WITHOUT_CONFLICTS,4970804,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,22829924,17.052175ms,,,,,,,,,17.269243ms,SUCCESS_WITHOUT_CONFLICTS,21374068,15.918799ms,,,,,,,,,16.136394ms,SUCCESS_WITHOUT_CONFLICTS,21042332,15.958735ms,,,,,,,,,16.156551ms
aptly-dev/aptly,132c923f2513a17d3cbb5b14e90f9fd776f6b3e5,mergeAnalysisOutput/go/aptly-dev/aptly/132c923f2513a17d3cbb5b14e90f9fd776f6b3e5/api/repos.go,SUCCESS_WITHOUT_CONFLICTS,4624985,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,19614526,17.009489ms,,,,,,,,,17.227393ms,SUCCESS_WITHOUT_CONFLICTS,21551267,17.976471ms,,,,,,,,,18.272589ms,SUCCESS_WITHOUT_CONFLICTS,18921610,16.385787ms,,,,,,,,,16.625119ms
semaphoreui/semaphore,20631c57419f8de95d11d037ae8a2662b0a580c8,mergeAnalysisOutput/go/semaphoreui/semaphore/20631c57419f8de95d11d037ae8a2662b0a580c8/api/projects/tasks.go,SUCCESS_WITHOUT_CONFLICTS,3015806,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,10401159,8.954743ms,,,,,,,,,9.213562ms,SUCCESS_WITHOUT_CONFLICTS,14136974,7.979817ms,,,,,,,,,8.198069ms,SUCCESS_WITHOUT_CONFLICTS,12209502,9.120718ms,,,,,,,,,9.359248ms
semaphoreui/semaphore,b504798d2b9aa99b1560f9baadec3d08900bfd2f,mergeAnalysisOutput/go/semaphoreui/semaphore/b504798d2b9aa99b1560f9baadec3d08900bfd2f/db/Migration.go,SUCCESS_WITH_CONFLICTS,2011731,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,135368393,11.181592ms,76.01128ms,,0.0,0ns,,,,,87.863618ms,SUCCESS_WITH_CONFLICTS,32720091,10.806792ms,10.052137ms,2.770521ms,0.0,0ns,8.56965ms,2.80925ms,0.0,0ns,29.725104ms,SUCCESS_WITH_CONFLICTS,32033585,10.521333ms,9.179515ms,2.837809ms,0.0,0ns,8.514653ms,2.777136ms,0.0,0ns,28.528472ms
semaphoreui/semaphore,b504798d2b9aa99b1560f9baadec3d08900bfd2f,mergeAnalysisOutput/go/semaphoreui/semaphore/b504798d2b9aa99b1560f9baadec3d08900bfd2f/db/Store.go,SUCCESS_WITHOUT_CONFLICTS,2306121,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,13632861,11.181509ms,,,,,,,,,11.401055ms,SUCCESS_WITHOUT_CONFLICTS,13686619,11.517766ms,,,,,,,,,11.736561ms,SUCCESS_WITHOUT_CONFLICTS,14270086,10.645549ms,,,,,,,,,10.849247ms
semaphoreui/semaphore,b504798d2b9aa99b1560f9baadec3d08900bfd2f,mergeAnalysisOutput/go/semaphoreui/semaphore/b504798d2b9aa99b1560f9baadec3d08900bfd2f/db/bolt/template.go,SUCCESS_WITHOUT_CONFLICTS,2267697,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,7330871,5.233704ms,,,,,,,,,5.426139ms,SUCCESS_WITHOUT_CONFLICTS,7653718,5.202693ms,,,,,,,,,5.401793ms,SUCCESS_WITHOUT_CONFLICTS,8750136,6.185129ms,,,,,,,,,6.403513ms
semaphoreui/semaphore,b504798d2b9aa99b1560f9baadec3d08900bfd2f,mergeAnalysisOutput/go/semaphoreui/semaphore/b504798d2b9aa99b1560f9baadec3d08900bfd2f/services/tasks/LocalJob_inventory.go,SUCCESS_WITHOUT_CONFLICTS,1786696,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,5657764,3.700195ms,,,,,,,,,3.887441ms,SUCCESS_WITHOUT_CONFLICTS,5740392,3.674191ms,,,,,,,,,3.869159ms,SUCCESS_WITHOUT_CONFLICTS,6839948,5.811689ms,,,,,,,,,6.053836ms
