project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus,status_s3m,time_s3m,phase1_time_s3m,phase2_time_s3m,phase2_unify_time_s3m,phase2_diffy_calls_s3m,phase2_diffy_time_s3m,phase3_time_s3m,phase3_unify_time_s3m,phase3_diffy_calls_s3m,phase3_diffy_time_s3m,total_merge_module_time_s3m
alibaba/ARouter,c46ca438475781400a4f3e620d5319a70c599ff7,mergeAnalysisOutput/java/alibaba/ARouter/c46ca438475781400a4f3e620d5319a70c599ff7/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,SUCCESS_WITHOUT_CONFLICTS,2266146,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,45631150,42.355177ms,,,,,,,,,42.572811ms,SUCCESS_WITHOUT_CONFLICTS,44020829,44.485919ms,,,,,,,,,44.700561ms,SUCCESS_WITHOUT_CONFLICTS,44722832,39.549537ms,,,,,,,,,39.76046ms,SUCCESS_WITHOUT_CONFLICTS,253596818094,,,,,,,,,,
alibaba/ARouter,c46ca438475781400a4f3e620d5319a70c599ff7,mergeAnalysisOutput/java/alibaba/ARouter/c46ca438475781400a4f3e620d5319a70c599ff7/arouter-api/src/main/java/com/alibaba/android/arouter/launcher/_ARouter.java,SUCCESS_WITHOUT_CONFLICTS,2226273,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,94947269,91.716061ms,,,,,,,,,91.940352ms,SUCCESS_WITHOUT_CONFLICTS,94989569,90.847213ms,,,,,,,,,91.083427ms,SUCCESS_WITHOUT_CONFLICTS,94380921,94.048226ms,,,,,,,,,94.343844ms,SUCCESS_WITHOUT_CONFLICTS,257022236515,,,,,,,,,,
alibaba/ARouter,75c38c0fa6689e7adedb1280c6c1135b0c6b4f12,mergeAnalysisOutput/java/alibaba/ARouter/75c38c0fa6689e7adedb1280c6c1135b0c6b4f12/arouter-api/src/main/java/com/alibaba/android/arouter/launcher/_ARouter.java,SUCCESS_WITHOUT_CONFLICTS,2327760,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,177786884,84.85623ms,,,,,,,,,85.067817ms,SUCCESS_WITHOUT_CONFLICTS,87154204,84.475623ms,,,,,,,,,84.682719ms,SUCCESS_WITHOUT_CONFLICTS,87255281,84.622826ms,,,,,,,,,84.825461ms,SUCCESS_WITHOUT_CONFLICTS,257975298136,,,,,,,,,,
alibaba/QLExpress,a77ea607b796a4014865fde469d9acf3ec4526ae,mergeAnalysisOutput/java/alibaba/QLExpress/a77ea607b796a4014865fde469d9acf3ec4526ae/src/main/java/com/alibaba/qlexpress4/Express4Runner.java,SUCCESS_WITH_CONFLICTS,2339483,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,410101238,241.518128ms,,,0.0,0ns,164.548959ms,,,,407.489784ms,SUCCESS_WITHOUT_CONFLICTS,377784938,242.709769ms,,101.814353ms,0.0,0ns,132.729605ms,,,,376.796825ms,SUCCESS_WITHOUT_CONFLICTS,377475731,241.096901ms,,101.667434ms,0.0,0ns,132.456777ms,,,,374.902234ms,SUCCESS_WITHOUT_CONFLICTS,517554444058,,,,,,,,,,
angryip/ipscan,5b5bd08323faf5a56dda40738fe2097641f379fb,mergeAnalysisOutput/java/angryip/ipscan/5b5bd08323faf5a56dda40738fe2097641f379fb/src/net/azib/ipscan/exporters/SQLExporter.java,SUCCESS_WITHOUT_CONFLICTS,1925216,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,5808231,3.515072ms,,,,,,,,,3.709155ms,SUCCESS_WITHOUT_CONFLICTS,5843913,3.487414ms,,,,,,,,,3.674073ms,SUCCESS_WITHOUT_CONFLICTS,5886395,3.465429ms,,,,,,,,,3.653233ms,SUCCESS_WITHOUT_CONFLICTS,641123484,,,,,,,,,,
angryip/ipscan,7c40ebb32074b0cbe32d677e80a5ab30aa384f12,mergeAnalysisOutput/java/angryip/ipscan/7c40ebb32074b0cbe32d677e80a5ab30aa384f12/src/net/azib/ipscan/exporters/TXTExporter.java,SUCCESS_WITHOUT_CONFLICTS,1951544,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,35089755,32.628443ms,,,,,,,,,32.854373ms,SUCCESS_WITHOUT_CONFLICTS,35000661,32.564241ms,,,,,,,,,32.772596ms,SUCCESS_WITHOUT_CONFLICTS,35064457,32.601358ms,,,,,,,,,32.815516ms,SUCCESS_WITHOUT_CONFLICTS,260157718841,,,,,,,,,,
AntennaPod/AntennaPod,7c0582c99eb38fbacb7c2388f519c0daf41d98a4,mergeAnalysisOutput/java/AntennaPod/AntennaPod/7c0582c99eb38fbacb7c2388f519c0daf41d98a4/app/src/main/java/de/danoeh/antennapod/ui/screen/feed/preferences/FeedSettingsFragment.java,SUCCESS_WITH_CONFLICTS,2226459,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,546006779,184.162862ms,178.969397ms,,0.0,0ns,179.256899ms,,0.0,0ns,542.733389ms,SUCCESS_WITH_CONFLICTS,655141048,183.99025ms,43.770626ms,4.083937ms,0.0,0ns,424.246229ms,384.106196ms,0.0,0ns,652.34159ms,SUCCESS_WITH_CONFLICTS,653565768,183.495453ms,43.672643ms,4.118298ms,0.0,0ns,423.136288ms,383.081153ms,0.0,0ns,650.634039ms,SUCCESS_WITHOUT_CONFLICTS,286452385492,,,,,,,,,,
AntennaPod/AntennaPod,35f24316e0152d7990aa2f7aa72377e66905ce97,mergeAnalysisOutput/java/AntennaPod/AntennaPod/35f24316e0152d7990aa2f7aa72377e66905ce97/app/src/main/java/de/danoeh/antennapod/ui/screen/subscriptions/SubscriptionFragment.java,SUCCESS_WITHOUT_CONFLICTS,2355580,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,253947804,251.522938ms,,,,,,,,,251.725922ms,SUCCESS_WITHOUT_CONFLICTS,254283908,251.440965ms,,,,,,,,,251.65846ms,SUCCESS_WITHOUT_CONFLICTS,254156110,251.019989ms,,,,,,,,,251.233668ms,SUCCESS_WITHOUT_CONFLICTS,266348608253,,,,,,,,,,
AntennaPod/AntennaPod,35f24316e0152d7990aa2f7aa72377e66905ce97,mergeAnalysisOutput/java/AntennaPod/AntennaPod/35f24316e0152d7990aa2f7aa72377e66905ce97/playback/service/src/main/java/de/danoeh/antennapod/playback/service/PlaybackService.java,SUCCESS_WITHOUT_CONFLICTS,3915233,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,1834223812,1.83181518s,,,,,,,,,1.832034928s,SUCCESS_WITHOUT_CONFLICTS,2094449844,1.839403674s,,,,,,,,,1.839637474s,SUCCESS_WITHOUT_CONFLICTS,1840930000,1.833413022s,,,,,,,,,1.833655515s,SUCCESS_WITHOUT_CONFLICTS,274156415259,,,,,,,,,,
dragonwell-project/dragonwell8,acc1bd35a91e212abc47e2c2f7c36ce05ccb5aca,mergeAnalysisOutput/java/dragonwell-project/dragonwell8/acc1bd35a91e212abc47e2c2f7c36ce05ccb5aca/jdk/src/share/classes/sun/font/TrueTypeFont.java,SUCCESS_WITHOUT_CONFLICTS,3161149,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,227891585,224.683106ms,,,,,,,,,224.895346ms,SUCCESS_WITHOUT_CONFLICTS,228596229,224.973828ms,,,,,,,,,225.175178ms,SUCCESS_WITHOUT_CONFLICTS,228535964,225.253577ms,,,,,,,,,225.475222ms,SUCCESS_WITHOUT_CONFLICTS,270540561896,,,,,,,,,,
