project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus
AlessandroZ/LaZagne,30aebe9bbd3cb3ac54bb05b41b26498eea246f03,mergeAnalysisOutput/python/AlessandroZ/LaZagne/30aebe9bbd3cb3ac54bb05b41b26498eea246f03/Mac/lazagne/softwares/browsers/mozilla.py,SUCCESS_WITHOUT_CONFLICTS,7327986,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,25778225,18.629759ms,,,,,,,,,18.870997ms,SUCCESS_WITHOUT_CONFLICTS,20946784,17.018808ms,,,,,,,,,17.247035ms,SUCCESS_WITHOUT_CONFLICTS,22486450,17.063881ms,,,,,,,,,17.304879ms
androguard/androguard,fe6195648af7542f74401ffd46ab55029ca16c18,mergeAnalysisOutput/python/androguard/androguard/fe6195648af7542f74401ffd46ab55029ca16c18/androguard/core/apk/__init__.py,SUCCESS_WITHOUT_CONFLICTS,4843746,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,73836810,80.121965ms,,,,,,,,,80.359346ms,SUCCESS_WITHOUT_CONFLICTS,62300724,54.764708ms,,,,,,,,,54.989835ms,SUCCESS_WITHOUT_CONFLICTS,62997031,58.849387ms,,,,,,,,,59.078237ms
androguard/androguard,be2a88c26006b3e8c2f1720e012fb468f70e0c78,mergeAnalysisOutput/python/androguard/androguard/be2a88c26006b3e8c2f1720e012fb468f70e0c78/androguard/core/apk/__init__.py,SUCCESS_WITHOUT_CONFLICTS,5438149,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,50636634,45.429979ms,,,,,,,,,45.6591ms,SUCCESS_WITHOUT_CONFLICTS,51839542,51.108022ms,,,,,,,,,51.347882ms,SUCCESS_WITHOUT_CONFLICTS,48950305,44.895025ms,,,,,,,,,45.117826ms
androguard/androguard,be2a88c26006b3e8c2f1720e012fb468f70e0c78,mergeAnalysisOutput/python/androguard/androguard/be2a88c26006b3e8c2f1720e012fb468f70e0c78/tests/test_apk.py,SUCCESS_WITHOUT_CONFLICTS,2767665,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,33636632,25.598219ms,,,,,,,,,25.815038ms,SUCCESS_WITHOUT_CONFLICTS,27936280,25.282851ms,,,,,,,,,25.493917ms,SUCCESS_WITHOUT_CONFLICTS,27846039,24.861966ms,,,,,,,,,25.069347ms
amoffat/sh,3a8f772a7973a991e19bd4ab441e657fdcaea9ec,mergeAnalysisOutput/python/amoffat/sh/3a8f772a7973a991e19bd4ab441e657fdcaea9ec/sh.py,SUCCESS_WITHOUT_CONFLICTS,9507190,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,996408105,58.264254ms,,,0.0,0ns,963.336618ms,,,,1.02276579s,SUCCESS_WITHOUT_CONFLICTS,3391158227,59.470863ms,,2.99840766s,0.0,0ns,3.131293138s,,,,3.192115147s,SUCCESS_WITHOUT_CONFLICTS,3413725038,71.522956ms,,3.03414385s,0.0,0ns,3.193070249s,,,,3.265958103s
anishathalye/dotbot,64d2330b2ee139f5c9603d10f19cadb07c65c234,mergeAnalysisOutput/python/anishathalye/dotbot/64d2330b2ee139f5c9603d10f19cadb07c65c234/src/dotbot/plugins/link.py,SUCCESS_WITHOUT_CONFLICTS,2870079,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,17025372,14.227972ms,,,,,,,,,14.43273ms,SUCCESS_WITHOUT_CONFLICTS,18081531,14.430156ms,,,,,,,,,14.659255ms,SUCCESS_WITHOUT_CONFLICTS,19143697,14.246412ms,,,,,,,,,14.465315ms
anishathalye/dotbot,64d2330b2ee139f5c9603d10f19cadb07c65c234,mergeAnalysisOutput/python/anishathalye/dotbot/64d2330b2ee139f5c9603d10f19cadb07c65c234/tests/test_link.py,SUCCESS_WITHOUT_CONFLICTS,3980444,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,36994193,34.288288ms,,,,,,,,,34.511464ms,SUCCESS_WITHOUT_CONFLICTS,37215943,34.016207ms,,,,,,,,,34.244083ms,SUCCESS_WITHOUT_CONFLICTS,42307645,58.903015ms,,,,,,,,,59.419953ms
apache/libcloud,547899eaaa394a7e7f2b4e4f8e819ad5c5b7d407,mergeAnalysisOutput/python/apache/libcloud/547899eaaa394a7e7f2b4e4f8e819ad5c5b7d407/libcloud/storage/drivers/s3.py,SUCCESS_WITHOUT_CONFLICTS,2850623,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,395505743,25.220863ms,,,0.0,0ns,334.786811ms,,,,360.950951ms,SUCCESS_WITHOUT_CONFLICTS,306981129,25.104374ms,,206.523634ms,0.0,0ns,276.696055ms,,,,302.748ms,SUCCESS_WITHOUT_CONFLICTS,313432861,25.095505ms,,207.316335ms,0.0,0ns,277.066924ms,,,,303.16796ms
apache/libcloud,616cf5c08f7fe0d49282657787764385598e17f5,mergeAnalysisOutput/python/apache/libcloud/616cf5c08f7fe0d49282657787764385598e17f5/libcloud/test/compute/test_openstack.py,SUCCESS_WITHOUT_CONFLICTS,5001638,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,88752702,86.479076ms,,,,,,,,,86.697237ms,SUCCESS_WITHOUT_CONFLICTS,88307807,84.089245ms,,,,,,,,,84.306587ms,SUCCESS_WITHOUT_CONFLICTS,87526458,84.218414ms,,,,,,,,,84.437403ms
apache/libcloud,e7fdefdb36bbb1a7081c1c91fc4beb92ec2b1590,mergeAnalysisOutput/python/apache/libcloud/e7fdefdb36bbb1a7081c1c91fc4beb92ec2b1590/libcloud/dns/drivers/rcodezero.py,SUCCESS_WITHOUT_CONFLICTS,2178895,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,17544431,14.555074ms,,,,,,,,,14.773522ms,SUCCESS_WITHOUT_CONFLICTS,17463217,14.602861ms,,,,,,,,,14.806599ms,SUCCESS_WITHOUT_CONFLICTS,25817667,14.68585ms,,,,,,,,,14.908462ms
