project,commit,path,status_diff3,time_diff3,phase1_time_diff3,phase2_time_diff3,phase2_unify_time_diff3,phase2_diffy_calls_diff3,phase2_diffy_time_diff3,phase3_time_diff3,phase3_unify_time_diff3,phase3_diffy_calls_diff3,phase3_diffy_time_diff3,total_merge_module_time_diff3,status_mergiraf,time_mergiraf,phase1_time_mergiraf,phase2_time_mergiraf,phase2_unify_time_mergiraf,phase2_diffy_calls_mergiraf,phase2_diffy_time_mergiraf,phase3_time_mergiraf,phase3_unify_time_mergiraf,phase3_diffy_calls_mergiraf,phase3_diffy_time_mergiraf,total_merge_module_time_mergiraf,status_mergiraf_semi,time_mergiraf_semi,phase1_time_mergiraf_semi,phase2_time_mergiraf_semi,phase2_unify_time_mergiraf_semi,phase2_diffy_calls_mergiraf_semi,phase2_diffy_time_mergiraf_semi,phase3_time_mergiraf_semi,phase3_unify_time_mergiraf_semi,phase3_diffy_calls_mergiraf_semi,phase3_diffy_time_mergiraf_semi,total_merge_module_time_mergiraf_semi,status_mergiraf_semi_plus,time_mergiraf_semi_plus,phase1_time_mergiraf_semi_plus,phase2_time_mergiraf_semi_plus,phase2_unify_time_mergiraf_semi_plus,phase2_diffy_calls_mergiraf_semi_plus,phase2_diffy_time_mergiraf_semi_plus,phase3_time_mergiraf_semi_plus,phase3_unify_time_mergiraf_semi_plus,phase3_diffy_calls_mergiraf_semi_plus,phase3_diffy_time_mergiraf_semi_plus,total_merge_module_time_mergiraf_semi_plus
asciinema/asciinema,6dc63b9c6fdcb153546e7884b6060d1f07efb7e1,mergeAnalysisOutput/rust/asciinema/asciinema/6dc63b9c6fdcb153546e7884b6060d1f07efb7e1/src/cmd/cat.rs,SUCCESS_WITHOUT_CONFLICTS,2526920,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,30301878,22.02163ms,,,,,,,,,22.25101ms,SUCCESS_WITHOUT_CONFLICTS,29799874,25.916569ms,,,,,,,,,26.315918ms,SUCCESS_WITHOUT_CONFLICTS,25436147,21.880033ms,,,,,,,,,22.134139ms
denisidoro/navi,9a6fae871ad66e40dd9d0baafc638b8490cf2b1f,mergeAnalysisOutput/rust/denisidoro/navi/9a6fae871ad66e40dd9d0baafc638b8490cf2b1f/src/config/mod.rs,SUCCESS_WITHOUT_CONFLICTS,2054684,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,438856965,87.615647ms,,,0.0,0ns,361.375774ms,,,,449.717143ms,SUCCESS_WITHOUT_CONFLICTS,180249333,89.460063ms,,4.074994ms,0.0,0ns,91.548691ms,,,,181.644822ms,SUCCESS_WITHOUT_CONFLICTS,169270443,89.640743ms,,4.157116ms,0.0,0ns,65.467564ms,,,,157.589633ms
Canop/broot,0e9f342a4771729f612fdf2519e96652b10e13e6,mergeAnalysisOutput/rust/Canop/broot/0e9f342a4771729f612fdf2519e96652b10e13e6/src/kitty/detect_support.rs,SUCCESS_WITHOUT_CONFLICTS,4820124,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,179161558,162.749459ms,,,,,,,,,162.960347ms,SUCCESS_WITHOUT_CONFLICTS,183460536,178.035907ms,,,,,,,,,178.301165ms,SUCCESS_WITHOUT_CONFLICTS,185613989,193.000028ms,,,,,,,,,193.411986ms
denisidoro/navi,03618b55fdbd8d22023b8dd30787b04608a017b8,mergeAnalysisOutput/rust/denisidoro/navi/03618b55fdbd8d22023b8dd30787b04608a017b8/src/common/shell.rs,SUCCESS_WITH_CONFLICTS,3017441,,,,,,,,,,,SUCCESS_WITH_CONFLICTS,193761172,29.490917ms,74.221078ms,,0.0,0ns,72.559585ms,,0.0,0ns,184.192347ms,SUCCESS_WITH_CONFLICTS,111019994,32.192048ms,32.945258ms,12.557µs,0.0,0ns,32.602677ms,12.447µs,0.0,0ns,98.267214ms,SUCCESS_WITH_CONFLICTS,105543017,29.350549ms,39.000844ms,18.781µs,0.0,0ns,35.913977ms,12.708µs,0.0,0ns,104.893697ms
denisidoro/navi,0d4c573dadb857b94c303734bcb6cc429d71fc06,mergeAnalysisOutput/rust/denisidoro/navi/0d4c573dadb857b94c303734bcb6cc429d71fc06/src/common/fs.rs,SUCCESS_WITHOUT_CONFLICTS,2271051,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,353473563,54.541069ms,,,0.0,0ns,343.196298ms,,,,398.276713ms,SUCCESS_WITHOUT_CONFLICTS,133768555,59.453349ms,,9.692549ms,0.0,0ns,59.575774ms,,,,119.814659ms,SUCCESS_WITHOUT_CONFLICTS,123401874,53.75134ms,,10.125124ms,0.0,0ns,54.849404ms,,,,109.317065ms
denisidoro/navi,10ddffbe727509d4c91fb69a60f1c702cca148d1,mergeAnalysisOutput/rust/denisidoro/navi/10ddffbe727509d4c91fb69a60f1c702cca148d1/src/common/shell.rs,SUCCESS_WITH_CONFLICTS,2303496,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,98616481,32.779196ms,54.606671ms,,0.0,0ns,,,,,88.163784ms,SUCCESS_WITHOUT_CONFLICTS,76565879,32.277728ms,43.537321ms,10.791µs,0.0,0ns,,,,,78.205149ms,SUCCESS_WITHOUT_CONFLICTS,67243528,29.22351ms,34.7901ms,11.043µs,0.0,0ns,,,,,64.762349ms
Canop/broot,54ba161b442d2c2ee9e8fe12475b67158e933b10,mergeAnalysisOutput/rust/Canop/broot/54ba161b442d2c2ee9e8fe12475b67158e933b10/src/app/app.rs,SUCCESS_WITHOUT_CONFLICTS,6442217,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,226055447,223.534985ms,,,,,,,,,223.776605ms,SUCCESS_WITHOUT_CONFLICTS,207374543,201.602725ms,,,,,,,,,201.811523ms,SUCCESS_WITHOUT_CONFLICTS,218088787,202.75544ms,,,,,,,,,202.970008ms
Canop/broot,54ba161b442d2c2ee9e8fe12475b67158e933b10,mergeAnalysisOutput/rust/Canop/broot/54ba161b442d2c2ee9e8fe12475b67158e933b10/src/browser/browser_state.rs,SUCCESS_WITHOUT_CONFLICTS,3192914,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,167915084,165.579766ms,,,,,,,,,165.807429ms,SUCCESS_WITHOUT_CONFLICTS,170188062,170.815841ms,,,,,,,,,171.019155ms,SUCCESS_WITHOUT_CONFLICTS,169981909,169.960741ms,,,,,,,,,170.167352ms
denisidoro/navi,445f9be247134664b316078eaa7dd5aba6ca4610,mergeAnalysisOutput/rust/denisidoro/navi/445f9be247134664b316078eaa7dd5aba6ca4610/src/commands/info.rs,SUCCESS_WITH_CONFLICTS,2068512,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,581931002,194.661554ms,282.163774ms,,0.0,0ns,,,,,477.661234ms,SUCCESS_WITH_CONFLICTS,267537533,197.807171ms,31.370921ms,746.243µs,0.0,0ns,33.741214ms,1.068728ms,0.0,0ns,263.268916ms,SUCCESS_WITH_CONFLICTS,265866973,196.28101ms,31.404392ms,695.184µs,0.0,0ns,33.867858ms,1.078286ms,0.0,0ns,261.911948ms
denisidoro/navi,77b9013a4b902ac14cc20e218542b8b6400f4b1f,mergeAnalysisOutput/rust/denisidoro/navi/77b9013a4b902ac14cc20e218542b8b6400f4b1f/src/structures/item.rs,SUCCESS_WITH_CONFLICTS,1808938,,,,,,,,,,,SUCCESS_WITHOUT_CONFLICTS,134282632,53.461615ms,74.891761ms,,0.0,0ns,,,,,129.239984ms,SUCCESS_WITH_CONFLICTS,112974790,53.657314ms,30.647559ms,403.906µs,0.0,0ns,27.581235ms,435.711µs,0.0,0ns,112.206362ms,SUCCESS_WITH_CONFLICTS,112869115,53.089291ms,28.126171ms,412.71µs,0.0,0ns,27.74623ms,414.502µs,0.0,0ns,109.287499ms
